"","Percentage_positive"
"RPS27L",7.2
"RAB8B",17.2
"APH1B",7.8
"AC007950.2",0.6
"USP3",23.6
"USP3-AS1",1.3
"FBXL22",0.5
"HERC1",15.4
"AC073167.1",0.1
"DAPK2",1
"CIAO2A",3.1
"SNX1",5.1
"SNX22",1.3
"PPIB",16.6
"CSNK1G1",4.5
"PCLAF",0.8
"TRIP4",1.6
"ZNF609",3.1
"OAZ2",3.6
"AC100830.1",0.2
"PLEKHO2",0.5
"ANKDD1A",1.7
"AC103691.1",0.5
"SPG21",7.6
"MTFMT",0.9
"UBAP1L",0.5
"PDCD7",3.5
"CLPX",2.7
"PARP16",1.2
"DPP8",5.2
"HACD3",2.3
"INTS14",2.5
"SLC24A1",0.4
"DENND4A",13.9
"RAB11A",4.4
"AC011939.2",5.4
"DIS3L",2
"TIPIN",0.9
"MAP2K1",3.1
"SNAPC5",1.7
"RPL4",47.3
"ZWILCH",1.3
"LCTL",0.1
"AC087482.1",0.8
"SMAD3",14.1
"AAGAB",4
"IQCH",0.2
"IQCH-AS1",1.3
"C15orf61",2.2
"AC016355.1",0.2
"MAP2K5",2.1
"PIAS1",11.3
"CLN6",1.3
"FEM1B",3.7
"CORO2B",0.3
"ANP32A",9.9
"GLCE",0.3
"KIF23",0.1
"RPLP1",78.4
"DRAIC",0.3
"TLE3",16.8
"AC026583.1",0
"UACA",0.3
"LARP6",0.2
"LRRC49",0.5
"MYO9A",6.3
"PKM",12.9
"PARP6",4.1
"AC009690.2",0.1
"CELF6",2.2
"HEXA",15.5
"HEXA-AS1",0.6
"TMEM202-AS1",1.5
"ARIH1",21.2
"AC100827.4",0.1
"BBS4",1.5
"ADPGK",13.7
"ADPGK-AS1",0.6
"NEO1",1.1
"NPTN",3.6
"NPTN-IT1",0.3
"CD276",0.2
"LOXL1-AS1",0.1
"STOML1",0.4
"PML",2.3
"SEMA7A",5.6
"UBL7",2.2
"UBL7-AS1",2.9
"ARID3B",2.6
"CLK3",7.2
"AC100835.1",0.1
"EDC3",1
"CSK",10.2
"ULK3",2.4
"SCAMP2",3.6
"MPI",0.4
"FAM219B",1.9
"COX5A",8.1
"RPP25",0.7
"SCAMP5",1.8
"PPCDC",0.9
"C15orf39",3.7
"COMMD4",2.5
"AC068338.3",0.7
"NEIL1",7.4
"MAN2C1",3.8
"AC068338.2",0.8
"SIN3A",15.2
"AC105137.2",0.2
"PTPN9",0.9
"SNUPN",1.8
"IMP3",9.4
"AC105020.6",0.3
"ODF3L1",0.4
"AC019294.2",0.3
"UBE2Q2",13.1
"FBXO22",4.8
"NRG4",0.4
"TMEM266",0.1
"ETFA",3
"SCAPER",11.5
"RCN2",13.4
"PSTPIP1",1.3
"TSPAN3",5.9
"AC090181.2",0.7
"PEAK1",5.2
"HMG20A",3.2
"TBC1D2B",3.7
"AC104758.2",0
"CIB2",0.8
"IDH3A",2.6
"ACSBG1",0.4
"DNAJA4",1.2
"WDR61",2
"IREB2",12.8
"HYKK",0
"PSMA4",6.9
"ADAMTS7",0.4
"MORF4L1",42.4
"CTSH",7.8
"RASGRF1",2.7
"TMED3",1.8
"MTHFS",1.4
"AC015871.7",2.4
"AC015871.1",0.4
"AC015871.4",0.8
"ST20-AS1",0.8
"BCL2A1",11.6
"ZFAND6",16.3
"FAH",0.1
"ARNT2",0.2
"AC108451.1",0
"ABHD17C",0.2
"CEMIP",0.4
"MESD",3.7
"TLNRD1",3.3
"IL16",6.4
"AC103858.1",0.3
"STARD5",2.9
"AC103858.3",0.4
"MEX3B",1.5
"EFL1",1.1
"AC026624.1",0.1
"GOLGA6L10",1.2
"GOLGA6L9",1.8
"RPS17",48.4
"CPEB1",0.2
"CPEB1-AS1",0.2
"AP3B2",0.1
"AC105339.6",0.4
"SNHG21",0.8
"WHAMM",14.1
"HOMER2",1.8
"RAMAC",3.6
"C15orf40",3.7
"BTBD1",6.3
"AC022558.1",0.5
"AC024270.5",0.4
"HDGFL3",8.3
"UBE2Q2L",1
"GOLGA6L4",1.2
"ZSCAN2",1.3
"AC048382.6",0
"WDR73",4.4
"NMB",0.5
"SEC11A",5.8
"AC012291.3",1
"ZNF592",2.5
"AC012291.2",0.2
"ALPK3",0.2
"PDE8A",1.7
"AKAP13",64.5
"AC087286.4",0.9
"AC021739.2",0.4
"AC021739.3",0
"KLHL25",0.2
"AGBL1-AS1",0
"NTRK3",0
"MRPL46",1.5
"MRPS11",0.9
"DET1",0.6
"AEN",1.6
"ISG20",17.9
"HAPLN3",0.4
"MFGE8",1.6
"ABHD2",2
"FANCI",1.2
"POLG",6.4
"AC124068.2",0.3
"MIR9-3HG",0.9
"KIF7",0
"AP3S2",2.4
"ARPIN",0.1
"ZNF710",0.6
"AC087284.1",0.5
"ZNF710-AS1",0.3
"IDH2",4.4
"SEMA4B",2
"CIB1",11
"GDPGP1",0.3
"NGRN",13.5
"IQGAP1",32.8
"CRTC3",5
"CRTC3-AS1",0.1
"AC103739.3",0.1
"BLM",2
"AC124248.1",1.4
"FURIN",1
"FES",0.6
"MAN2A2",2.8
"HDDC3",1.4
"UNC45A",1.7
"RCCD1",0.9
"PRC1",2.1
"PRC1-AS1",0.2
"VPS33B",1.2
"VPS33B-DT",0.1
"AC127520.1",0.6
"SLCO3A1",0.6
"FAM174B",0.6
"LINC01578",64.8
"CHD2",48.1
"MCTP2",21.3
"LINC00924",0.1
"LINC00923",0.1
"ARRDC4",2.3
"IGF1R",2.9
"AC118658.1",0.3
"SYNM",0.2
"TTC23",0.1
"LRRC28",1.7
"MEF2A",19.1
"LYSMD4",0.3
"AC090825.1",1.2
"AC027020.2",0.3
"LINS1",0.7
"ASB7",1
"AC015712.1",0.1
"LRRK1",4.3
"AC090907.2",0
"CHSY1",1.2
"SELENOS",9
"SNRPA1",14.3
"AC023024.1",0.1
"PCSK6",0
"TM2D3",6.8
"TARSL2",9.2
"POLR3K",1.1
"SNRNP25",2
"MPG",4.1
"NPRL3",1.9
"Z69720.1",0.2
"Z69666.1",0.1
"HBA2",0.3
"Z69706.1",0.4
"LUC7L",25.7
"FAM234A",2.3
"AXIN1",4.4
"MRPL28",2.8
"TMEM8A",1.8
"NME4",2.8
"DECR2",0.5
"RAB11FIP3",1.6
"LINC00235",0
"CAPN15",1.7
"PIGQ",1.6
"NHLRC4",0.1
"RAB40C",0.8
"METTL26",5.7
"MCRIP2",1.2
"AL022341.1",0.1
"WDR90",0.9
"RHOT2",7.3
"RHBDL1",0.4
"STUB1",7.2
"JMJD8",1.9
"WDR24",0.7
"METRN",0.8
"ANTKMT",3.1
"HAGHL",0.6
"CIAO3",1.8
"RPUSD1",1.1
"CHTF18",1.7
"AL023882.1",0.2
"LMF1",1.7
"AL008727.1",0.4
"AC009041.2",2.5
"AC120498.9",0.3
"UBE2I",31.9
"AL031714.1",2.6
"BAIAP3",7.9
"TSR3",3.2
"GNPTG",4.7
"UNKL",6.5
"C16orf91",4.6
"CCDC154",0.3
"CLCN7",10.6
"AL031600.3",0.5
"AL031600.2",1.5
"TELO2",1.5
"IFT140",0.4
"AL031705.1",0.3
"CRAMP1",3.6
"JPT2",0.4
"MAPK8IP3",20.3
"AL031710.2",2.1
"AL031710.1",0.6
"AL031717.1",0.3
"NME3",6.1
"MRPS34",4.1
"EME2",1.7
"SPSB3",7.3
"NUBP2",2.6
"HAGH",1.8
"FAHD1",0.7
"MSRB1",0.3
"NDUFB10",6.5
"RPS2",69.2
"SNHG9",28.9
"AC005363.2",0.4
"TBL3",1.2
"GFER",2
"SYNGR3",0.5
"ZNF598",1.7
"SLC9A3R2",0.1
"NTHL1",0.5
"TSC2",4.6
"PKD1",8
"SNHG19",2
"TRAF7",5
"CASKIN1",0.1
"MLST8",2.3
"BRICD5",0.1
"PGP",3.4
"E4F1",1.8
"ECI1",3.1
"AC009065.8",0.2
"RNPS1",31.9
"AC009065.4",0.1
"CCNF",0.6
"TEDC2",0.1
"AC106820.2",0.1
"TBC1D24",0.8
"AC106820.4",0.2
"ATP6V0C",45.5
"AMDHD2",4
"PDPK1",13.4
"AC093525.6",1.8
"AC093525.7",2.6
"AC093525.4",1.8
"AC093525.3",0.5
"ERVK13-1",5
"KCTD5",1.7
"PRSS27",0.3
"SRRM2-AS1",0.6
"SRRM2",64.2
"ELOB",23.1
"AC092117.1",0.5
"PRSS21",0.1
"FLYWCH2",1
"FLYWCH1",1.1
"KREMEN2",1.3
"PKMYT1",0.2
"TNFRSF12A",0.8
"HCFC1R1",1.9
"THOC6",1.5
"MMP25-AS1",0.5
"IL32",4.1
"ZNF213-AS1",1.1
"ZNF213",0.3
"AC108134.2",0.3
"ZNF200",0.5
"LINC00921",0.6
"ZNF263",3.4
"TIGD7",0.5
"ZNF75A",10.4
"MTRNR2L4",0.1
"ZSCAN32",0.5
"ZNF174",0.4
"ZNF597",0.5
"NAA60",2.8
"CLUAP1",1.2
"NLRC3",3.8
"SLX4",1.3
"DNASE1",2
"TRAP1",1.4
"CREBBP",20.5
"ADCY9",0.6
"LINC01569",0.2
"TFAP4",0.5
"PAM16",1.6
"AC012676.1",0.1
"CORO7",9.3
"VASN",0.3
"DNAJA3",1.7
"NMRAL1",1.4
"HMOX2",1.8
"CDIP1",1.6
"AC023830.3",0.2
"UBALD1",3
"MGRN1",7.7
"NUDT16L1",3.4
"ANKS3",2.3
"ZNF500",0.8
"ROGDI",0.4
"GLYR1",6.9
"AC020663.3",2.7
"UBN1",13.4
"PPL",0.1
"NAGPA",2.2
"ALG1",0.6
"EEF2KMT",0.4
"RBFOX1",0.1
"AC093515.1",0
"METTL22",1
"ABAT",2.5
"TMEM186",0.1
"PMM2",6.2
"AC012173.1",0.2
"AC022167.2",0.3
"CARHSP1",8.1
"AC022167.1",0.2
"USP7",24
"AC022167.3",1.6
"C16orf72",9.5
"AC087190.1",5.8
"ATF7IP2",6.6
"EMP2",0.2
"NUBP1",5.3
"TVP23A",0.5
"AC133065.1",0.6
"CIITA",11.7
"DEXI",0.6
"CLEC16A",3
"AC007014.1",0.9
"AC007220.1",0.1
"RMI2",0.4
"SOCS1",14.4
"AC099489.1",1.2
"LITAF",32.4
"SNN",12.8
"TXNDC11",7.4
"AC007613.1",1.6
"ZC3H7A",15.2
"AC010654.1",0.2
"RSL1D1",16
"AC007216.4",0.2
"GSPT1",8
"AC007216.3",0.9
"AC007216.2",0.5
"NPIPB2",0.4
"SNX29",28.3
"AC007598.1",0.1
"AC131391.1",0.4
"CPPED1",1.7
"AC109597.2",1.5
"SHISA9",0.1
"ERCC4",1.1
"MRTFB",3.5
"MIR193BHG",0.2
"PARN",5.2
"BFAR",5
"NOMO1",0.5
"NPIPA1",4.5
"PDXDC1",30.8
"NTAN1",5.8
"RRN3",10.7
"NPIPA5",0.3
"MPV17L",2.4
"BMERB1",0.4
"MARF1",15.7
"NDE1",8.8
"AC026401.2",0.4
"AC026401.3",1
"MYH11",1.1
"AF001548.2",0.4
"FOPNL",1.6
"ABCC1",5.3
"NOMO3",0.9
"AC138969.1",2.6
"NPIPA7",0.1
"XYLT1",10
"AC109446.3",1
"AC009152.1",0.3
"NOMO2",0.2
"RPS15A",71.2
"ARL6IP1",18.1
"SMG1",45.8
"AC092287.1",0.3
"AC099518.4",0.6
"COQ7",11.8
"ITPRIPL2",0.5
"SYT17",2.8
"GDE1",1.4
"CCP110",1.6
"VPS35L",1.4
"KNOP1",3.8
"AC002550.1",0
"IQCK",0.4
"ACSM3",14.4
"THUMPD1",18.9
"ERI2",0.2
"LYRM1",5.2
"TMEM159",4.4
"ANKS4B",0.4
"CRYM",10.4
"NPIPB3",0.3
"AC005632.6",0.4
"METTL9",6.5
"AC005632.3",1.3
"IGSF6",0.3
"AC092375.2",0.1
"NPIPB4",5.9
"AC092119.2",0.3
"UQCRC2",6.9
"MOSMO",2.4
"SDR42E2",5.5
"EEF2K",2.6
"POLR3E",4.9
"AC092338.3",4.3
"CDR2",3.1
"AC092338.2",0.1
"NPIPB5",20.4
"AC009021.1",0.1
"USP31",0.5
"COG7",4.2
"AC008915.1",0.8
"GGA2",23.7
"EARS2",0.4
"UBFD1",2.1
"AC008870.2",1
"NDUFAB1",3.3
"PALB2",0.7
"DCTN5",5.9
"PRKCB",39.7
"RBBP6",30.2
"TNRC6A",24.1
"ARHGAP17",10.2
"LINC02175",0.4
"LCMT1",1.4
"LCMT1-AS2",0.1
"ZKSCAN2",1.5
"ZKSCAN2-DT",1.8
"KDM8",0.5
"NSMCE1",3.2
"NSMCE1-DT",2
"AC106739.1",1.9
"IL4R",9.7
"IL21R",4.4
"GTF3C1",4.4
"KIAA0556",1.8
"XPO6",5.7
"AC138904.3",0.2
"SBK1",1.3
"AC138904.1",0.1
"NPIPB6",0.3
"NPIPB7",0.1
"CLN3",3.4
"AC020765.2",0.9
"SGF29",1.3
"SULT1A1",0.3
"EIF3C",2.8
"NPIPB9",0.1
"AC145285.2",0.2
"AC145285.6",0.3
"ATXN2L",13.8
"AC133550.2",0.1
"TUFM",9.5
"SH2B1",2.6
"AC133550.3",1.5
"ATP2A1",1
"RABEP2",10.3
"CD19",11
"NFATC2IP",11.2
"AC109460.2",0.4
"AC109460.1",0.2
"SPNS1",3.4
"LAT",0.5
"AC009093.2",1.1
"AC009093.1",0.4
"NPIPB11",6
"BOLA2",5
"SLX1B",0.1
"NPIPB12",0.1
"SPN",0.7
"C16orf54",2.4
"AC009133.3",0.1
"KIF22",3.8
"AC009133.4",0.1
"MAZ",5.1
"AC009133.1",1
"PAGR1",1.2
"MVP",1.7
"CDIPT",1.1
"KCTD13",1.8
"TMEM219",6.1
"TAOK2",1
"HIRIP3",0.5
"INO80E",2
"ALDOA",3.3
"PPP4C",9.5
"TBX6",0.2
"YPEL3",16.7
"GDPD3",0.2
"MAPK3",1.7
"CORO1A",15.6
"AC012645.3",0.6
"BOLA2B",3.3
"SLX1A",0.5
"SULT1A3",0.9
"NPIPB13",2.4
"CD2BP2",2.8
"TBC1D10B",1.1
"MYLPF",0.8
"ZNF48",0.2
"SEPTIN1",6.8
"ZNF771",0.3
"DCTPP1",1.1
"SEPHS2",2.4
"ITGAL",2.2
"ZNF768",0.5
"ZNF747",0.5
"AC002310.1",0.5
"ZNF764",0.9
"ZNF688",1.5
"ZNF785",0.5
"ZNF689",1.2
"PRR14",2.6
"FBRS",9.3
"AC093249.6",0.4
"SRCAP",6.1
"TMEM265",0.6
"PHKG2",2.3
"CCDC189",0.7
"RNF40",2.8
"ZNF629",0.4
"BCL7C",7.1
"MIR762HG",1.2
"FBXL19-AS1",0.7
"FBXL19",0.6
"ORAI3",1.4
"SETD1A",3.6
"STX4",4.7
"AC135050.3",0.2
"AC135050.1",0.2
"ZNF668",0.5
"ZNF646",0.9
"PRSS53",0.2
"VKORC1",0.9
"BCKDK",0.5
"KAT8",5.2
"AC135050.5",0.7
"AC135050.6",2
"PRSS36",0
"FUS",69.9
"AC009088.1",1.8
"PYCARD",2.3
"PYCARD-AS1",1.2
"TRIM72",0.5
"ITGAM",0.8
"ZNF843",0.1
"AC026471.4",0.4
"AC026471.1",1
"ARMC5",2.8
"TGFB1I1",0.1
"SLC5A2",0.1
"C16orf58",1.9
"AC026471.2",0.5
"AC074050.4",0.3
"ZNF720",2.8
"ZNF267",4.7
"TP53TG3D",0
"AC136944.2",0.2
"SHCBP1",0.8
"VPS35",11.8
"ORC6",3.2
"C16orf87",7
"GPT2",1.7
"DNAJA2",12
"AC018845.3",0.2
"NETO2",0.6
"ITFG1",5.6
"PHKB",15.2
"LINC02133",0
"LONP2",13.9
"SIAH1",8
"N4BP1",5.5
"CNEP1R1",1.5
"HEATR3",0.7
"TENT4B",4.2
"ADCY7",2.5
"BRD7",18.6
"SNX20",0.5
"NOD2",0.2
"AC007728.2",0.6
"CYLD",31.8
"HNRNPA1P48",2
"TOX3",0.1
"CHD9",25.1
"AC007906.1",0.1
"RBL2",7.8
"AC007342.1",0.4
"AKTIP",0.8
"RPGRIP1L",0.5
"FTO",2.7
"GNAO1",0.1
"AMFR",12.7
"AC092140.1",2.3
"NUDT21",4.4
"OGFOD1",0.9
"BBS2",1.6
"MT2A",8.8
"MT1E",0.2
"MT1G",0.3
"MT1X",1.7
"AC106779.1",0
"NUP93",2.6
"SLC12A3",0.6
"HERPUD1",55
"AC012181.2",0.2
"AC012181.1",4.2
"NLRC5",9.1
"CPNE2",0.2
"FAM192A",6.7
"AC009090.6",0.5
"RSPRY1",4.4
"ARL2BP",3.7
"AC009090.1",0.1
"PLLP",0.2
"CCL22",0.3
"CX3CL1",0
"CIAPIN1",1.5
"COQ9",0.7
"POLR2C",6.1
"CCDC102A",0.6
"ADGRG5",0.1
"ADGRG1",0.1
"KATNB1",0.4
"ZNF319",0.4
"USB1",1.7
"CFAP20",5
"AC009107.2",3.6
"CSNK2A2",7.7
"CCDC113",0.2
"AC009118.2",0.2
"NDRG4",0.3
"SETD6",1.6
"CNOT1",26.9
"AC009118.3",0.4
"SLC38A7",0.7
"GOT2",0.8
"CDH8",0.1
"AC092337.1",0.1
"TK2",1.1
"AC010542.4",0.4
"CKLF",3.4
"CMTM3",3.3
"CMTM4",0.1
"DYNC1LI2",13.8
"AC018557.1",0.8
"AC018557.2",0.2
"AC044802.1",0
"TERB1",0.1
"NAE1",3.6
"PDP2",0.3
"RRAD",0.7
"CIAO2B",8.1
"CES2",2
"CES3",0.1
"CBFB",5.8
"C16orf70",0.8
"TRADD",0.9
"FBXL8",0.2
"HSF4",0.1
"KIAA0895L",0.7
"E2F4",4.5
"ELMO3",0.3
"TMEM208",5.5
"FHOD1",0.4
"SLC9A5",0.3
"PLEKHG4",0.1
"KCTD19",0.1
"LRRC36",0.1
"ATP6V0D1",12.6
"AC009061.2",1.1
"AC027682.6",0.5
"RIPOR1",7.4
"AC027682.2",0.3
"AC027682.4",2.6
"AC027682.1",0.4
"CTCF",11.9
"CARMIL2",2.1
"ACD",1.7
"PARD6A",1.8
"ENKD1",0.5
"C16orf86",0.4
"GFOD2",1.1
"RANBP10",3.2
"AC010530.1",0.5
"TSNAXIP1",0.1
"CENPT",1.3
"THAP11",0.8
"NUTF2",3.4
"EDC4",2.4
"NRN1L",0.1
"PSKH1",0.6
"CTRL",0.8
"PSMB10",7.4
"SLC12A4",0.4
"DPEP2",1.8
"DUS2",0.9
"DDX28",1.5
"NFATC3",4
"AC020978.6",0.2
"AC020978.7",0.3
"PLA2G15",1
"SLC7A6",8.2
"SLC7A6OS",4.8
"PRMT7",3.1
"AC020978.1",0.1
"SMPD3",0.5
"ZFP90",3.1
"AC126773.6",0.1
"CDH1",0
"TANGO6",1
"CHTF8",0.4
"UTP4",3.2
"SNTB2",2
"VPS4A",7.2
"COG8",0.7
"NIP7",5.1
"TERF2",3.1
"CYB5B",2.6
"NFAT5",10.9
"AC009032.1",0.3
"AC092115.2",0.1
"NOB1",2.8
"WWP2",4.2
"PDPR",5.5
"AC009060.1",1.4
"EXOSC6",17.9
"AARS",0.8
"DDX19B",4.4
"AC012184.3",0.5
"DDX19A",7
"ST3GAL2",1.9
"FCSK",0.5
"COG4",1.6
"SF3B3",7.4
"MTSS2",0.6
"VAC14",2.1
"CMTR2",3.9
"ZNF23",1.1
"AC010547.1",0.1
"ZNF19",1.1
"TAT-AS1",0.8
"MARVELD3",0.1
"PHLPP2",2.6
"AP1G1",26.8
"ATXN1L",5.9
"IST1",23
"ZNF821",8
"AC009127.1",0.2
"DHODH",1.6
"TXNL4B",2
"DHX38",9.2
"PMFBP1",1
"LINC01572",3.1
"AC004943.2",1.3
"AC004943.3",0
"ZFHX3",6.7
"LINC01568",0.1
"AC138627.1",0.3
"AC009120.5",0.2
"PSMD7",12.5
"AC009120.2",1.7
"AC009053.2",1.4
"NPIPB15",0.8
"GLG1",10.1
"RFWD3",2.1
"MLKL",0.7
"FA2H",0.1
"WDR59",3.3
"ZNRF1",0.2
"ZFP1",1.4
"CFDP1",11.6
"AC009054.2",0.3
"AC009163.7",0.2
"TMEM170A",5.5
"CHST6",0.1
"TMEM231",1.4
"AC025287.2",0.1
"GABARAPL2",8.9
"AC025287.3",0.1
"ADAT1",2.5
"KARS",7.6
"TERF2IP",14.5
"LINC02125",0.2
"AC106729.1",0
"MON1B",3.8
"SYCE1L",1.1
"WWOX",2.4
"AC027279.1",0.9
"MAF",0.6
"AC105411.1",0.1
"DYNLRB2",0.1
"CDYL2",1.8
"AC092332.1",0.1
"CMC2",7.1
"CENPN",1.8
"AC092718.2",0.2
"ATMIN",2.4
"C16orf46",0.5
"AC092718.1",0.3
"GCSH",0.8
"GAN",0.9
"CMIP",7.4
"AC099524.1",0.9
"PLCG2",76.4
"SDR42E1",0.2
"HSD17B2",0.1
"MPHOSPH6",1.8
"AC009119.1",0.2
"HSBP1",3.1
"MLYCD",1.6
"OSGIN1",0.2
"MBTPS1",11.7
"AC040169.3",0.2
"AC040169.1",0.4
"HSDL1",2.1
"DNAAF1",0.3
"TAF1C",2.6
"AC009123.1",0.5
"WFDC1",0.1
"MEAK7",0.6
"COTL1",26.3
"KLHL36",6.4
"USP10",6.5
"ZDHHC7",1
"KIAA0513",0.1
"GSE1",4.9
"AC092127.1",0.2
"GINS2",1.1
"C16orf74",6.9
"AC018695.9",0.3
"EMC8",2.6
"COX4I1",45.8
"IRF8",18.3
"AC135012.1",0.1
"MTHFSD",0.9
"FOXL1",0.1
"LINC02188",0
"AC106745.1",0
"FBXO31",3.1
"MAP1LC3B",43.4
"AC010531.3",0.2
"AC010536.1",0.1
"KLHDC4",8.5
"SLC7A5",15.5
"BANP",8.5
"AC134312.3",0.1
"ZNF469",0.3
"ZFPM1",4.3
"ZC3H18",10.3
"CYBA",36.5
"MVD",4.4
"SNAI3-AS1",0.3
"RNF166",3.3
"CTU2",1.4
"PIEZO1",0.9
"AC138028.1",0.1
"APRT",8.5
"GALNS",2.6
"TRAPPC2L",8.8
"PABPN1L",0.2
"CBFA2T3",7.9
"AC092384.3",0.9
"ACSF3",6.4
"AC135782.3",0.4
"AC009113.1",0.5
"ZNF778",0.7
"ANKRD11",52.2
"AC137932.3",2.4
"AC137932.1",0.2
"AC092120.1",0.5
"AC092120.3",0.7
"SPG7",18.2
"RPL13",80.6
"CHMP1A",4
"SPATA33",1.9
"AC010538.1",0.2
"CDK10",3
"SPATA2L",2.1
"VPS9D1",1.1
"ZNF276",3.5
"FANCA",1.3
"SPIRE2",0.2
"TCF25",42.3
"MC1R",0.2
"TUBB3",0.6
"CENPBD1",0.4
"FAM157C",0.6
"AC133919.1",0.7
"LINC02193",0.8
"DOC2B",0.1
"RPH3AL",0.3
"C17orf97",0.2
"VPS53",6.5
"TLCD3A",1.3
"GEMIN4",1.3
"GLOD4",3.9
"AC087392.3",0.2
"MRM3",4.6
"AC087392.5",0
"NXN",0.1
"TIMM22",2.5
"ABR",9.9
"YWHAE",30.5
"CRK",2.2
"MYO1C",6.5
"INPP5K",3.3
"PITPNA-AS1",0.9
"PITPNA",3.1
"SLC43A2",7.5
"SCARF1",0.1
"RILP",0.4
"PRPF8",22.8
"AC130343.2",0.2
"TLCD2",0.5
"MIR22HG",5.1
"WDR81",2
"SERPINF1",3.8
"SMYD4",3.1
"RPA1",1.1
"DPH1",0.6
"SMG6",8
"AC090617.4",0
"TSR1",7.2
"SGSM2",3.6
"MNT",9.1
"AC006435.1",0
"METTL16",8.2
"PAFAH1B1",19.3
"CLUH",1.4
"AC005696.4",0.2
"RAP1GAP2",1.2
"OR3A3",0.1
"TRPV3",1.7
"TRPV1",0.2
"AC027796.1",0.2
"SHPK",0.6
"CTNS",0.6
"TAX1BP3",2.5
"EMC6",4
"P2RX5",16
"ITGAE",5.7
"AC116914.2",0.1
"NCBP3",12.2
"CAMKK1",2.9
"P2RX1",3.3
"ATP2A3",15.7
"ZZEF1",9.5
"CYB5D2",5.3
"ANKFY1",3
"UBE2G1",10.5
"SPNS3",0.1
"AC127521.1",0.1
"SPNS2",0.1
"MYBBP1A",2.1
"GGT6",0
"PELP1",1.9
"ARRB2",1.6
"MED11",0.7
"CXCL16",1.2
"PSMB6",9.6
"PLD2",0.5
"MINK1",1.5
"CHRNE",0.8
"C17orf107",0.6
"GP1BA",0.2
"SLC25A11",1.6
"RNF167",3
"PFN1",36
"ENO3",0.7
"SPAG7",3.5
"CAMTA2",1.2
"AC004771.3",0.1
"KIF1C",1.2
"ZFP3",0.4
"AC012146.1",1.5
"ZNF594",0.6
"AC087500.1",1.1
"SCIMP",1.9
"AC087500.2",0.1
"RABEP1",9.2
"NUP88",18.7
"AC015727.1",0.8
"RPAIN",13.7
"AC004148.1",0.3
"C1QBP",6.1
"DHX33",2.1
"DERL2",7.6
"MIS12",2.9
"NLRP1",6.5
"AC055839.2",0.1
"PITPNM3",0.1
"KIAA0753",1.2
"AC004706.3",0.1
"TXNDC17",3.1
"MED31",3
"C17orf100",0.4
"XAF1",9.6
"ALOX12-AS1",3.4
"AC040977.1",0.4
"RNASEK",25.4
"C17orf49",10.1
"BCL6B",0.2
"SLC16A13",0.2
"SLC16A11",0.4
"ASGR1",0.1
"DLG4",0.4
"ACADVL",6.5
"DVL2",2
"PHF23",0.8
"GABARAP",30.7
"CTDNEP1",6
"ELP5",6.3
"CLDN7",0.1
"SLC2A4",0
"EIF5A",25.4
"GPS2",16
"NEURL4",0.9
"ACAP1",13.1
"KCTD11",0.2
"TNK1",0.2
"PLSCR3",1.9
"TMEM256",5.9
"TMEM102",0.3
"FGF11",0.1
"CHRNB1",0.6
"ZBTB4",4.3
"POLR2A",20.2
"TNFSF13",0.8
"SENP3",1.6
"EIF4A1",41.3
"CD68",0.9
"MPDU1",2.1
"FXR2",0.9
"SAT2",9.4
"TP53",4.1
"WRAP53",1.1
"DNAH2",0.1
"KDM6B",42
"TMEM88",2.4
"NAA38",4.4
"CYB5D1",1.8
"CHD3",6.3
"RNF227",0.2
"KCNAB3",0.6
"TRAPPC1",5.6
"CNTROB",1.2
"ALOX12B",0
"HES7",0
"PER1",20.4
"VAMP2",20.8
"TMEM107",23
"AURKB",0.1
"LINC00324",0.8
"CTC1",5.1
"PFAS",1.4
"SLC25A35",0.2
"RANGRF",2.5
"KRBA2",0.7
"RPL26",62.7
"NDEL1",10.3
"MYH10",0.9
"PIK3R5",0.4
"NTN1",0.2
"STX8",4.5
"USP43",0
"GAS7",1.7
"MYH3",0.5
"SCO1",4.5
"ADPRM",1
"TMEM220-AS1",0.3
"ZNF18",1.4
"MAP2K4",4.3
"ARHGAP44",1.2
"ELAC2",2.5
"COX10-AS1",1.6
"COX10",2.3
"HS3ST3B1",1
"AC005224.3",1.2
"AC005224.2",1.3
"TVP23C",1.2
"AC005838.2",0.7
"TRIM16",0.4
"ZNF286A",2.5
"TBC1D26",0
"LINC02087",0.3
"ZSWIM7",5.5
"TTC19",10.6
"AC002553.2",0.4
"NCOR1",28
"AC002553.1",1
"PIGL",2.3
"UBB",41.6
"AC093484.3",0.1
"AC093484.2",0.1
"TRPV2",0.6
"SNHG29",33
"LRRC75A",6.7
"ZNF287",0.2
"ZNF624",0.3
"CCDC144A",1.4
"TNFRSF13B",5.6
"AC104024.1",3.1
"LINC02090",0.1
"MPRIP",8.3
"PLD6",0.3
"FLCN",3.6
"AC055811.3",0.3
"COPS3",6.6
"MED9",4.4
"PEMT",0.9
"RAI1",2.6
"SMCR5",1.1
"SREBF1",6.6
"TOM1L2",1
"DRC3",0.7
"ATPAF2",2.3
"DRG2",3.4
"MYO15A",0.7
"AC087164.1",0.7
"ALKBH5",8.1
"LLGL1",0.2
"FLII",3.3
"MIEF2",0.4
"AC127537.1",0.1
"TOP3A",1.9
"SMCR8",3.8
"SHMT1",0.4
"LINC02076",0.4
"FOXO3B",0.6
"TRIM16L",0.1
"TVP23B",3.5
"AC107982.3",0.2
"PRPSAP2",2
